Название,Цена
Колбаса Рублевский Молочная вареная 400г,249.9
Колбаса Мясницкий ряд Каждому по вкусу вареная 400г,129.9
Колбаса Мясницкий ряд Любительская вареная 400г,189.9
Колбаса Стародворье Стародворская вареная 400г/370г,109.9
"Колбаса Царицыно Мусульманская, вареная, 400 г",99.99
Колбаса Мясницкий ряд Для завтрака вареная 400г,109.9
Колбаса Мясной дом Бородина Докторская вареная 400г,239.9
Колбаса Мясной дом Бородина Сливочная вареная 400г,189.9
Колбаса Мясницкий ряд Русская вареная 400г,239.9
"Колбаса Стародворье Стародворская с окороком, вареная, 400г",129.9
Колбаса вареная Рублевский МК Докторская 400г,219.9
Колбаса Велком Докторская вареная 400г,239.9
Колбаса Вязанка Докторская вареная ГОСТ 400г,399.9
Колбаса Мясоедов Докторская вареная ГОСТ 400г,219.9
Колбаса Мираторг Докторская вареная ГОСТ 400г,249.9
