Название,Цена
Яйцо куриное Деревенские напевы Отборное фасованное 10шт,114.9
Яйцо куриное столовое 1 категории 10шт,70.99
Яйцо куриное Окское отборное С0 10шт,138.9
Яйцо куриное Деревенские напевы 1 категории 10шт,99.99
Яйцо куриное Деревенские напевы Халяль отборное С0 10шт,124.9
Яйцо куриное Окское столовое С1 10шт,119.9
Яйцо куриное Деревенские напевы С2 10шт,99.99
Яйцо куриное Волжанин С1 белое 10шт,109.9
Яйцо куриное Золото сеймы Деревенское С1 10шт,114.9
"Яйцо деревенское С1 категории, лоток 10 шт",127.9
Яйцо куриное Лето С0 10шт,128.9
Яйцо куриное Лето С1 10шт,125.9
Яйцо куриное Золото сеймы Деревенское С0 10шт,129.9
