Название,Цена
"Яйцо куриное СМЕТАНИНО СО, 10шт",129.99
"Яйцо куриное ВОЛЖАНИН СО, 10шт",149.99
"Яйцо куриное ВОЛЖАНИН СВ, 10шт",164.99
"Яйцо куриное NN С1, 10шт",112.99
"Яйцо куриное СМЕТАНИНО С1, 10шт",142.99
"Яйцо куриное ВАРАКСИНО деревенское СО, 10шт",156.99
"Яйцо куриное ПРАКСИС С1, 10шт",133.99
"Яйцо куриное ВОЛЖАНИН С1, 10шт",129.99
"Яйцо куриное СИНЯВИНСКОЕ деревенское СО, 10шт",129.99
"Яйцо куриное ЛЕНТА С1, 10шт",109.99
"Яйцо куриное РОСКАР Экстра СО столовое, 10шт",139.99
"Яйцо куриное СМЕТАНИНО От молодой курицы С2, 10шт",134.99
